Semester,Class Participation,Final Grade
Spring,Moderate,89.11
Spring,Low,86.31
Spring,Moderate,84.25
Spring,High,86.6
Spring,Moderate,87.85
Spring,High,85.66
Spring,High,94.82
Spring,High,96.59
Spring,Moderate,88.65
Spring,High,96.54
Spring,Low,75.89
Spring,Moderate,93.48
Spring,High,102.95
Spring,Moderate,83.5
Spring,Moderate,91.71
Spring,Moderate,97.55
Spring,High,98.76
Spring,Low,68.81
Spring,Low,66.57
Spring,Moderate,87.97
Spring,Moderate,86.5
Spring,Moderate,97.82
Spring,Low,78.36
Spring,Moderate,64.8
Spring,High,95.9
Spring,High,97.39
Spring,Moderate,94.09
Spring,High,97.3
Spring,Moderate,89.49
Spring,Moderate,95.44
Spring,Moderate,96.34
Spring,Moderate,90.72
Spring,Low,91.15
Spring,Low,53.95
Spring,High,95.49
Spring,Low,85.91
Spring,Moderate,69.86
Spring,Moderate,93.98
Spring,High,95.67
Spring,Low,63.59
Spring,High,86.02
Spring,Moderate,89.33
Spring,Moderate,101.64
Spring,High,96.45
Spring,Low,51
Spring,Moderate,101.11
Fall,Low,52.25
Fall,Low,48.71
Fall,High,94.84
Fall,Moderate,87.69
Fall,Moderate,72.63
Fall,Moderate,93.13
Fall,High,92.83
Fall,Low,38.82
Fall,High,77.27
Fall,Moderate,86.84
Fall,High,101.77
Fall,Moderate,98.16
Fall,Moderate,82.25
Fall,High,91.62
Fall,Low,75.06
Fall,Moderate,89.8
Fall,Moderate,92.28
Fall,Moderate,84.29
Fall,High,97.26
Fall,Moderate,98.17
Fall,Moderate,100.58
Fall,High,93.81
Fall,High,96.64
Fall,Moderate,84.72
Fall,Moderate,92.72
Fall,Moderate,82.85
Fall,Low,82.48
Fall,High,104.34
Fall,Low,42.24
Fall,Moderate,102.42
Fall,Moderate,103.06
Fall,High,86.37
Fall,Moderate,48.36
Fall,High,100.97
Fall,Low,63.96
Fall,Low,71.03
Fall,Moderate,80.79
Fall,Moderate,84.87
Fall,High,99.2
Fall,Moderate,96.09
Fall,Moderate,88.39
Fall,Moderate,87.29
Fall,Moderate,72.1
Fall,High,94.53
Fall,Moderate,81.76
Fall,Low,68.87
Fall,High,93.4
Winter,Moderate,96.29
Winter,Moderate,95.56
Winter,Moderate,90.25
Winter,High,87.14
Winter,High,90.75
Winter,Moderate,89.7
Winter,High,79.58
Winter,Moderate,84.76
Winter,High,87.11
Winter,Low,83.53
Winter,High,91.48
Winter,Moderate,74.42
Winter,High,99.92
Winter,High,100.72
Winter,Moderate,81.8
Winter,Moderate,93.6
Winter,High,97
Winter,Moderate,83.41
Winter,Moderate,90.88
Winter,Moderate,97.73
Winter,Moderate,70.72
Winter,Moderate,94.42
Winter,Moderate,93.34
Winter,High,95.56
Winter,Low,16.13
Winter,Moderate,95.58
Winter,High,85.7
Winter,Moderate,86.21
Winter,High,94.75
Winter,Low,68.26
Winter,Moderate,94.1
Winter,Moderate,94.46
Winter,High,98.97
Winter,Moderate,97.13
Winter,Moderate,95.2
Winter,Low,76.45
Winter,Moderate,96.52
Winter,Moderate,95.24
Winter,Low,43.81
Winter,High,102.84
Winter,High,103.02
Winter,Moderate,88.92
Winter,Moderate,89.95
Winter,Moderate,95.87
Winter,Low,82.64
