Tutoring Assignment Grade,Semester,Final Grade,Hours Tutoring Per Week on Average
250,Fall,89.11,1.79
200,Fall,86.31,1.43
250,Fall,84.25,1.79
220,Fall,86.6,1.57
200,Fall,87.85,1.43
250,Fall,85.66,1.79
250,Fall,94.82,1.79
260,Fall,96.59,1.86
250,Fall,88.65,1.79
260,Fall,96.54,1.86
130,Fall,75.89,0.93
240,Fall,93.48,1.71
260,Fall,102.95,1.86
260,Fall,83.5,1.86
260,Fall,91.71,1.86
260,Fall,97.55,1.86
260,Fall,98.76,1.86
240,Fall,68.81,1.71
60,Fall,66.57,0.43
210,Fall,87.97,1.5
260,Fall,86.5,1.86
260,Fall,97.82,1.86
200,Fall,78.36,1.43
240,Winter,90.23,1.71
220,Winter,91.23,1.57
250,Winter,96.98,1.79
250,Winter,94.18,1.79
210,Winter,75.48,1.5
250,Winter,99.64,1.79
250,Winter,95.76,1.79
240,Winter,77.7,1.71
250,Winter,94.23,1.79
240,Winter,86.58,1.71
130,Winter,72.47,0.93
250,Winter,99.41,1.79
90,Winter,70.62,0.64
240,Winter,89.2,1.71
240,Winter,87.65,1.71
100,Winter,81.65,0.71
250,Winter,93.74,1.79
230,Winter,88.56,1.64
230,Winter,93.35,1.64
250,Winter,101.84,1.79
250,Winter,89.92,1.79
190,Winter,73.76,1.36
190,Winter,83.59,1.36
100,Winter,95.68,0.71
190,Winter,86.61,1.36
200,Spring,64.8,1.43
260,Spring,95.9,1.86
260,Spring,97.39,1.86
250,Spring,94.09,1.79
230,Spring,97.3,1.64
220,Spring,89.49,1.57
260,Spring,95.44,1.86
260,Spring,96.34,1.86
260,Spring,90.72,1.86
230,Spring,91.15,1.64
70,Spring,53.95,0.5
100,Spring,95.49,0.71
240,Spring,85.91,1.71
150,Spring,69.86,1.07
250,Spring,93.98,1.79
260,Spring,95.67,1.86
170,Spring,63.59,1.21
250,Spring,86.02,1.79
250,Spring,89.33,1.79
260,Spring,101.64,1.86
260,Spring,96.45,1.86
70,Spring,51,0.5
260,Spring,101.11,1.86
